1,-,0,VHY 315-5MT 4794,SINGLE COP20 ORGANIC,SAY,DEEP TAUPE SO 20.12.30.C2,21.01.18.T3,-,1Z455,,,-,-
2,-,0,VHY 315-5MR 4795,RIB 1X1 COP26+E20,DHTP,DEEP TAUPE SO 20.12.30.C2,21.01.18.T3,-,1Z454,,,-,-
3,-,0,TVN 058,SINGLE CO40+E40,DHSB,ĐEN MỚI SO 19.12.31.D1,20.01.05.F1,-,1Z705,,,-,-
4,-,0,TVN 058,SINGLE CO40+E40,DHSB,BE SO 20.12.12.D2,20.12.12.D2.1,-,1Z704,,,-,-
5,-,0,TVN 058,SINGLE CO40+E40,DHSB,ĐEN MỚI SO 19.12.31.D1,20.01.05.F1,-,1Z750,,,-,-
6,-,0,TVN 058,SINGLE CO40+E40,DHSB,BE SO 20.12.12.D2,20.12.12.D2.1,-,1Z685,,,-,-
7,-,0,TVN 058,SINGLE CO40+E40,DHSB,ĐEN MỚI SO 19.12.31.D1,20.01.05.F1,-,1Z683,,,-,-
8,-,0,TVN 058,SINGLE CO40+E40,DHTP,BE SO 20.12.12.D2,20.12.12.D2.1,-,1Z685,,,-,-
9,-,0,TVN 058,SINGLE CO40+E40,DHTP,ĐEN MỚI SO 19.12.31.D1,20.01.05.F1,-,1Z683,,,-,-
10,-,0,TVN 058,SINGLE CO40+E40,DHTP,ĐEN MỚI SO 19.12.31.D1,20.01.05.F1,-,1Z705,,,-,-
11,-,0,TVN 058,SINGLE CO40+E40,DHTP,ĐEN MỚI SO 19.12.31.D1,20.01.05.F1,-,1Z750,,,-,-
12,-,0,TVN 058,SINGLE CO40+E40,DHSB,BE SO 20.12.12.D2,20.12.12.D2.1,-,1Z684,,,-,-
13,-,0,TVN 058,SINGLE CO40+E40,DHSB,ĐEN MỚI SO 19.12.31.D1,20.01.05.F1,-,1Z751,,,-,-
14,-,0,TVN 058,SINGLE CO40+E40,DHTP,BE SO 20.12.12.D2,20.12.12.D2.1,-,1Z684,,,-,-
15,-,0,TTB 233,ĐIỂM RY FILAMENT BÓNG,DHTP,ĐEN SO 10.06.22.R1,16.11.15.R1,-,1Z396,,,-,-
16,-,0,TTB 233,ĐIỂM RY FILAMENT BÓNG,DHTP,ĐEN SO 10.06.22.R1,16.11.15.R1,-,1Z650,,,-,-
17,-,0,TTB 233,ĐIỂM RY FILAMENT BÓNG,DHTP,ĐEN SO 10.06.22.R1,16.11.15.R1,-,1Z394,,,-,-
18,-,0,TTB 233,ĐIỂM RY FILAMENT BÓNG,DHTP,ĐEN SO 10.06.22.R1,16.11.15.R1,-,1Z398,,,-,-
19,-,0,TTB 233,ĐIỂM RY FILAMENT BÓNG,DHTP,ĐEN SO 10.06.22.R1,16.11.15.R1,-,1Z397,,,-,-
20,-,0,TTB 233,ĐIỂM RY FILAMENT BÓNG,DHTP,ĐEN SO 10.06.22.R1,16.11.15.R1,-,1Z393,,,-,-
21,-,0,TTB 233,ĐIỂM RY FILAMENT BÓNG,DHTP,ĐEN SO 10.06.22.R1,16.11.15.R1,-,1Z386,,,-,-
22,-,0,TTB 233,ĐIỂM RY FILAMENT BÓNG,DHTP,ĐEN SO 10.06.22.R1,16.11.15.R1,-,1Z385,,,-,-
23,-,0,TTB 233,ĐIỂM RY FILAMENT BÓNG,DHTP,ĐEN SO 10.06.22.R1,16.11.15.R1,-,1Z391,,,-,-
24,-,0,TTB 233,ĐIỂM RY FILAMENT BÓNG,DHTP,ĐEN SO 10.06.22.R1,16.11.15.R1,-,1Z387,,,-,-
25,-,0,TTB 233,ĐIỂM RY FILAMENT BÓNG,DHTP,ĐEN SO 10.06.22.R1,16.11.15.R1,-,1Z389,,,-,-
26,-,0,TTB 233,ĐIỂM RY FILAMENT BÓNG,DHTP,ĐEN SO 10.06.22.R1,16.11.15.R1,-,1Z390,,,-,-
27,-,0,TTB 233,ĐIỂM RY FILAMENT BÓNG,DHTP,ĐEN SO 10.06.22.R1,16.11.15.R1,-,1Z388,,,-,-
28,-,0,TTB 233,ĐIỂM RY FILAMENT BÓNG,DHTP,ĐEN SO 10.06.22.R1,16.11.15.R1,-,1Z395,,,-,-
29,-,0,TTB 233,ĐIỂM RY FILAMENT BÓNG,DHTP,ĐEN SO 10.06.22.R1,16.11.15.R1,-,1Z392,,,-,-
30,-,0,TCN 010,RIB 1X1 CO26 SIRO,DHTP,TRẮNG,20.10.21.W1,-,1Z401,,,-,-
31,-,0,TCN 010,RIB 1X1 CO26 SIRO,DHTP,TRẮNG,20.10.21.W1,-,1Z403,,,-,-
32,-,0,TCN 010,RIB 1X1 CO26 SIRO,DHTP,POSY GREEN 18-5616 TPG,21.01.05.A2.2,-,1Z402,,,-,-
33,-,0,TCN 010,RIB 1X1 CO26 SIRO,DHTP,TRẮNG,20.10.21.W1,-,1Z404,,,-,-
